dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
631152000,1990-01-01 00:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.31,,268.95,268.19,271.17,271.38,1026,,,82,2.29,152,,,,,,97,804,Clouds,overcast clouds,04n
631155600,1990-01-01 01:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.34,,268.98,268.16,271.2,271.43,1026,,,82,2.34,152,,,,,,99,804,Clouds,overcast clouds,04n
631159200,1990-01-01 02:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.26,,269.19,268.06,271.12,271.34,1025,,,84,2.35,157,,,,,,97,804,Clouds,overcast clouds,04n
631162800,1990-01-01 03:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.34,,269.27,268.25,271.21,271.42,1025,,,84,2.27,161,,,,,,100,804,Clouds,overcast clouds,04n
631166400,1990-01-01 04:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.17,,269.24,268.01,270.99,271.29,1024,,,85,2.3,166,,,,,,100,804,Clouds,overcast clouds,04n
631170000,1990-01-01 05:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.24,,269.45,268.2,271.05,271.37,1024,,,86,2.21,165,,,,,,100,804,Clouds,overcast clouds,04n
631173600,1990-01-01 06:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.23,,269.71,268.01,271.05,271.35,1024,,,88,2.36,166,,,,,,98,804,Clouds,overcast clouds,04n
631177200,1990-01-01 07:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.14,,269.62,267.81,270.93,271.29,1024,,,88,2.44,166,,,,,,91,804,Clouds,overcast clouds,04d
631180800,1990-01-01 08:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.2,,269.94,267.6,270.98,271.37,1024,,,90,2.7,167,,,,,,89,804,Clouds,overcast clouds,04d
631184400,1990-01-01 09:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,270.84,,269.98,267.22,270.6,271,1024,,,93,2.66,174,,,,,,78,803,Clouds,broken clouds,04d
631188000,1990-01-01 10:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.67,,270.8,267.99,271.46,271.81,1024,,,93,2.88,180,,,,,,82,803,Clouds,broken clouds,04d
631191600,1990-01-01 11:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.84,,270.97,267.81,271.61,272.04,1023,,,93,3.3,193,,,,,,90,804,Clouds,overcast clouds,04d
631195200,1990-01-01 12:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,272.03,,270.77,268.24,271.8,272.22,1023,,,90,3.07,200,,,,,,84,803,Clouds,broken clouds,04d
631198800,1990-01-01 13:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.8,,270.67,268.61,271.56,271.98,1022,,,91,2.43,201,,,,,,91,804,Clouds,overcast clouds,04d
631202400,1990-01-01 14:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.69,,270.69,269.03,271.48,271.82,1022,,,92,1.97,191,,,,,,93,804,Clouds,overcast clouds,04d
631206000,1990-01-01 15:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.91,,270.78,269.19,271.73,272.04,1022,,,91,2.05,183,,,,,,96,804,Clouds,overcast clouds,04n
631209600,1990-01-01 16:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.95,,270.82,269.22,271.78,272.03,1022,,,91,2.06,183,,,,,,96,804,Clouds,overcast clouds,04n
631213200,1990-01-01 17:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,272.09,,270.83,269.22,271.87,272.23,1022,,,90,2.19,187,,,,,,93,804,Clouds,overcast clouds,04n
631216800,1990-01-01 18:00:00 +0000 UTC,3600,Warsaw,52.229676,21.012229,271.92,,270.66,268.94,271.75,272,1022,,,90,2.26,189,,,,,,85,804,Clouds,overcast clouds,04n
