dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon
946684800,2000-01-01 00:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,263.11,2000,262.17,263.11,263.11,263.76,1019,,,92,1,130,,,,,,75,711,Smoke,smoke,50n
946684800,2000-01-01 00:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,263.11,2000,262.17,263.11,263.11,263.76,1019,,,92,1,130,,,,,,75,600,Snow,light snow,13n
946688400,2000-01-01 01:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,265.15,1700,264.2,265.15,263.64,267.32,1019,,,92,1,130,,,,0.11,,75,711,Smoke,smoke,50n
946688400,2000-01-01 01:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,265.15,1700,264.2,265.15,263.64,267.32,1019,,,92,1,130,,,,0.11,,75,600,Snow,light snow,13n
946692000,2000-01-01 02:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,266.66,,265.95,263.26,264.28,268.64,1019,,,94,1.92,174,,,,0.22,,98,600,Snow,light snow,13n
946695600,2000-01-01 03:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,265.91,,264.45,265.91,264.28,267.16,1018,,,88,0.5,60,,,,0.26,,99,600,Snow,light snow,13n
946699200,2000-01-01 04:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,268.47,,267.99,264.68,264.28,270.47,1018,,,96,2.42,171,,,,0.25,,99,600,Snow,light snow,13n
946702800,2000-01-01 05:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,269.85,,269.49,266.24,265.28,271.61,1017,,,97,2.48,175,,,,0.21,,99,600,Snow,light snow,13n
946706400,2000-01-01 06:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,268,,266.65,268,265.28,270.26,1017,,,89,0.5,90,,,,0.14,,100,600,Snow,light snow,13n
946710000,2000-01-01 07:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,270.71,,270.47,267.27,266.28,272.25,1017,,,98,2.47,184,,,,0.18,,100,600,Snow,light snow,13n
946713600,2000-01-01 08:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,271.3,2500,270.31,271.3,267.28,272.85,1016,,,92,0,0,,,,0.19,,75,600,Snow,light snow,13d
946717200,2000-01-01 09:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,270.1,5000,269.11,267.92,268.28,273.46,1016,,,92,1.5,130,,,,0.26,,75,600,Snow,light snow,13d
946720800,2000-01-01 10:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,272.68,2000,271.67,272.68,269.28,273.58,1016,,,92,1,140,,,,0.34,,75,600,Snow,light snow,13d
946724400,2000-01-01 11:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,272.74,4000,271.73,270.93,270.28,273.52,1016,,,92,1.5,150,,,,0.3,,75,600,Snow,light snow,13d
946728000,2000-01-01 12:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,272.71,,271.7,272.71,271.28,273.46,1016,,,92,0.5,170,,,,0.14,,100,600,Snow,light snow,13d
946731600,2000-01-01 13:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,272.86,5000,271.85,271.06,272.12,273.69,1016,,,92,1.5,150,,,,,,75,600,Snow,light snow,13d
946735200,2000-01-01 14:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.04,4500,272.03,271.27,272.28,273.82,1016,,,92,1.5,180,,,,,,75,600,Snow,light snow,13n
946738800,2000-01-01 15:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.31,,272.28,273.31,273.28,273.76,1016,,,92,1,180,,,,,,100,804,Clouds,overcast clouds,04n
946742400,2000-01-01 16:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.16,7000,272.15,270.58,272.5,273.9,1016,,,92,2.1,180,,,,,,75,701,Mist,mist,50n
946746000,2000-01-01 17:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.23,5000,272.34,270.12,272.38,274.11,1016,,,93,2.6,190,,,,,,75,701,Mist,mist,50n
946749600,2000-01-01 18:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.51,,272.46,273.51,273.28,273.66,1016,,,92,1,200,,,,,,99,804,Clouds,overcast clouds,04n
946753200,2000-01-01 19:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,272.95,,272.58,268.97,272.14,273.8,1017,,,97,3.53,208,,,,,,99,804,Clouds,overcast clouds,04n
946756800,2000-01-01 20:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,272.85,,272.36,268.84,271.97,273.77,1017,,,96,3.54,208,,,,,,99,804,Clouds,overcast clouds,04n
946760400,2000-01-01 21:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.71,,272.63,273.71,273.28,273.76,1016,,,92,1,200,,,,,,98,804,Clouds,overcast clouds,04n
946764000,2000-01-01 22:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,272.53,,272.16,268.48,271.57,274.28,1018,,,97,3.5,216,,,,,,81,803,Clouds,broken clouds,04n
946767600,2000-01-01 23:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,272.74,,272.37,268.84,271.86,274.28,1018,,,97,3.37,220,,,,,,97,804,Clouds,overcast clouds,04n
946771200,2000-01-02 00:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.71,,272.76,273.71,273.71,274.28,1017,,,93,1,210,,,,,,86,804,Clouds,overcast clouds,04n
946774800,2000-01-02 01:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.02,,272.65,269.44,272.23,273.9,1017,,,97,3.06,210,,,,,,85,804,Clouds,overcast clouds,04n
946778400,2000-01-02 02:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.05,,272.8,269.46,272.28,273.9,1017,,,98,3.08,213,,,,,,100,804,Clouds,overcast clouds,04n
946782000,2000-01-02 03:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.61,,272.93,271.92,273.28,274.36,1016,,,95,1.5,200,,,,,,95,804,Clouds,overcast clouds,04n
946785600,2000-01-02 04:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.34,,273.07,269.63,272.59,274.17,1017,,,98,3.29,207,,,,,,92,804,Clouds,overcast clouds,04n
946789200,2000-01-02 05:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.56,,273.28,269.76,272.85,274.32,1016,,,98,3.46,202,,,,,,95,804,Clouds,overcast clouds,04n
946792800,2000-01-02 06:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,274.01,,273.02,272.38,274.01,274.46,1015,,,93,1.5,170,,,,,,99,804,Clouds,overcast clouds,04n
946796400,2000-01-02 07:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.68,10000,272.74,270.2,272.9,274.4,1015,,,93,3.1,170,,,,,,75,803,Clouds,broken clouds,04n
946800000,2000-01-02 08:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,274.24,5000,273.24,270.87,273.73,274.84,1015,,,93,3.1,170,,,,,,75,701,Mist,mist,50d
946803600,2000-01-02 09:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,274.41,,273.41,272.04,274.28,275.06,1014,,,93,2.1,170,,,,,,100,804,Clouds,overcast clouds,04d
946807200,2000-01-02 10:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,274.7,10000,272.68,270.71,274.28,275.11,1013,,,86,4.1,190,,,,,,75,803,Clouds,broken clouds,04d
946810800,2000-01-02 11:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,274.29,10000,273.29,270.2,273.99,274.72,1012,,,93,4.1,200,,,,,,75,803,Clouds,broken clouds,04d
946814400,2000-01-02 12:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.91,,272.68,270.93,273.91,274.66,1011,,,91,2.6,190,,,,,,100,804,Clouds,overcast clouds,04d
946818000,2000-01-02 13:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,274.22,10000,273.22,269.52,273.92,274.62,1010,,,93,5.1,210,,,,,,75,803,Clouds,broken clouds,04d
946821600,2000-01-02 14:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,274.55,6000,273.54,270.52,274.11,275,1009,,,93,4.1,190,,,,,,75,701,Mist,mist,50n
946825200,2000-01-02 15:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,274.01,,273.02,271.05,274.01,274.76,1007,,,93,2.6,180,,,,0.68,,91,601,Snow,snow,13n
946828800,2000-01-02 16:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,274.56,9000,272.56,270.22,274.17,275.11,1006,,,86,4.6,200,,,,0.19,,75,600,Snow,light snow,13n
946832400,2000-01-02 17:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,275.3,5000,274.29,271.44,274.92,275.66,1005,,,93,4.1,220,,0.12,,,,75,300,Drizzle,light intensity drizzle,09n
946832400,2000-01-02 17:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,275.3,5000,274.29,271.44,274.92,275.66,1005,,,93,4.1,220,,0.12,,,,75,500,Rain,light rain,10n
946836000,2000-01-02 18:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,275.51,,274.5,273.33,275.26,275.51,1005,,,93,2.1,240,,,,,,97,804,Clouds,overcast clouds,04n
946839600,2000-01-02 19:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,276.48,9000,275.46,272.9,276.11,276.79,1005,,,93,4.1,250,,,,,,75,701,Mist,mist,50n
946843200,2000-01-02 20:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,275.77,10000,274.75,271.46,275.36,276.28,1005,,,93,5.1,260,,,,,,20,801,Clouds,few clouds,02n
946846800,2000-01-02 21:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,276.01,,273.9,273.01,276.01,276.56,1006,,,86,3.1,270,,,,,,2,800,Clear,sky is clear,01n
946850400,2000-01-02 22:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,274.27,,272.99,268.97,273.66,275.28,1008,,,91,6.33,284,,,,,,2,800,Clear,sky is clear,01n
946854000,2000-01-02 23:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,273.95,,272.71,268.76,273.31,275.28,1008,,,91,5.91,286,,,,,,1,800,Clear,sky is clear,01n
946857600,2000-01-03 00:00:00 +0000 UTC,3600,Stockholm,59.329323,18.068581,274.51,,272.37,271.64,274.28,275.06,1009,,,85,2.6,290,,,,,,0,800,Clear,sky is clear,01n
