Date,Shift,Felt Temp,Temp,Weather,CC,Wind,Ground,Visibility,NV,rain,evaporation,mud
2000-01-01,Night,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from NW,"Deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-01-01,Morning,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-01,Day,Freezing (2),-10 C⁰,Broken clouds,75%,Calmˢ from SW,"Deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-01,Evening,Freezing (2),-10 C⁰,Broken clouds,75%,Calmˢ from SW,"Deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.0,0,-0.0
2000-01-02,Night,Freezing (2),-15 C⁰,Broken clouds,75%,Calmˢ from SW,"Deep snow, frozen deep",3 (-3)  |  5 (-2),—,0.0,0,-0.0
2000-01-02,Morning,Freezing (2),-15 C⁰,Broken clouds,75%,Calmˢ from SW,"Deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-02,Day,Freezing (2),-15 C⁰,Passing clouds,25%,Calmˢ from S,"Deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-02,Evening,Freezing (2),-15 C⁰,Overcast,100%,Calmˢ from SW,"Deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-01-03,Night,Freezing (2),-10 C⁰,Light snow,100%,Light Breezeˡ from SW,"Deep snow, frozen deep",0 hex (-3 ⃰),5 km,0.0,0,-0.0
2000-01-03,Morning,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from NW,"Deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-03,Day,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Deep snow, frozen deep",—,X,0.0,0,-0.0
2000-01-03,Evening,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Deep snow, frozen deep",3 hexes (-3),—,0.26,0,-0.0
2000-01-04,Night,Freezing (2),-10 C⁰,Overcast,100%,Calmˢ from SW,"Deep snow, frozen deep",3 hexes (-3),—,0.0,0,-0.0
2000-01-04,Morning,Freezing (2),-5 C⁰,Light snow,100%,Light Breezeˡ from SW,"Very deep snow, frozen deep",4 km,X,1.5,0,-0.0
2000-01-04,Day,Freezing (2),-5 C⁰,Overcast,100%,Calmˢ from SW,"Very deep snow, frozen deep",—,X,0.34,0,-0.0
