date,time,phase,phaseid,datetime,timestamp,friendlydate,timezone
01/07/1991,07:36 PM,Last Quarter,4,1991-01-07 19:36:00,663273360,"January 7, 1991","Europe/Warsaw"
01/16/1991,12:50 AM,New Moon,1,1991-01-16 00:50:00,663983400,"January 16, 1991","Europe/Warsaw"
01/23/1991,03:22 PM,First Quarter,2,1991-01-23 15:22:00,664640520,"January 23, 1991","Europe/Warsaw"
01/30/1991,07:10 AM,Full Moon,3,1991-01-30 07:10:00,665215800,"January 30, 1991","Europe/Warsaw"
02/06/1991,02:52 PM,Last Quarter,4,1991-02-06 14:52:00,665848320,"February 6, 1991","Europe/Warsaw"
02/14/1991,06:32 PM,New Moon,1,1991-02-14 18:32:00,666552720,"February 14, 1991","Europe/Warsaw"
02/21/1991,11:58 PM,First Quarter,2,1991-02-21 23:58:00,667177080,"February 21, 1991","Europe/Warsaw"
02/28/1991,07:25 PM,Full Moon,3,1991-02-28 19:25:00,667765500,"February 28, 1991","Europe/Warsaw"
03/08/1991,11:32 AM,Last Quarter,4,1991-03-08 11:32:00,668428320,"March 8, 1991","Europe/Warsaw"
03/16/1991,09:11 AM,New Moon,1,1991-03-16 09:11:00,669111060,"March 16, 1991","Europe/Warsaw"
03/23/1991,07:03 AM,First Quarter,2,1991-03-23 07:03:00,669708180,"March 23, 1991","Europe/Warsaw"
03/30/1991,08:17 AM,Full Moon,3,1991-03-30 08:17:00,670317420,"March 30, 1991","Europe/Warsaw"
04/07/1991,08:45 AM,Last Quarter,4,1991-04-07 08:45:00,671006700,"April 7, 1991","Europe/Warsaw"
04/14/1991,09:38 PM,New Moon,1,1991-04-14 21:38:00,671657880,"April 14, 1991","Europe/Warsaw"
04/21/1991,02:39 PM,First Quarter,2,1991-04-21 14:39:00,672237540,"April 21, 1991","Europe/Warsaw"
04/28/1991,10:59 PM,Full Moon,3,1991-04-28 22:59:00,672872340,"April 28, 1991","Europe/Warsaw"
05/07/1991,02:46 AM,Last Quarter,4,1991-05-07 02:46:00,673577160,"May 7, 1991","Europe/Warsaw"
05/14/1991,06:36 AM,New Moon,1,1991-05-14 06:36:00,674195760,"May 14, 1991","Europe/Warsaw"
05/20/1991,09:46 PM,First Quarter,2,1991-05-20 21:46:00,674768760,"May 20, 1991","Europe/Warsaw"
05/28/1991,01:37 PM,Full Moon,3,1991-05-28 13:37:00,675430620,"May 28, 1991","Europe/Warsaw"
06/05/1991,05:30 PM,Last Quarter,4,1991-06-05 17:30:00,676135800,"June 5, 1991","Europe/Warsaw"
06/12/1991,02:06 PM,New Moon,1,1991-06-12 14:06:00,676728360,"June 12, 1991","Europe/Warsaw"
06/19/1991,06:19 AM,First Quarter,2,1991-06-19 06:19:00,677305140,"June 19, 1991","Europe/Warsaw"
06/27/1991,04:58 AM,Full Moon,3,1991-06-27 04:58:00,677991480,"June 27, 1991","Europe/Warsaw"
07/05/1991,04:50 AM,Last Quarter,4,1991-07-05 04:50:00,678682200,"July 5, 1991","Europe/Warsaw"
07/11/1991,09:06 PM,New Moon,1,1991-07-11 21:06:00,679259160,"July 11, 1991","Europe/Warsaw"
07/18/1991,05:11 PM,First Quarter,2,1991-07-18 17:11:00,679849860,"July 18, 1991","Europe/Warsaw"
07/26/1991,08:24 PM,Full Moon,3,1991-07-26 20:24:00,680552640,"July 26, 1991","Europe/Warsaw"
08/03/1991,01:26 PM,Last Quarter,4,1991-08-03 13:26:00,681218760,"August 3, 1991","Europe/Warsaw"
08/10/1991,04:28 AM,New Moon,1,1991-08-10 04:28:00,681791280,"August 10, 1991","Europe/Warsaw"
08/17/1991,07:01 AM,First Quarter,2,1991-08-17 07:01:00,682405260,"August 17, 1991","Europe/Warsaw"
08/25/1991,11:07 AM,Full Moon,3,1991-08-25 11:07:00,683111220,"August 25, 1991","Europe/Warsaw"
09/01/1991,08:16 PM,Last Quarter,4,1991-09-01 20:16:00,683748960,"September 1, 1991","Europe/Warsaw"
09/08/1991,01:01 PM,New Moon,1,1991-09-08 13:01:00,684327660,"September 8, 1991","Europe/Warsaw"
09/16/1991,12:01 AM,First Quarter,2,1991-09-16 00:01:00,684972060,"September 16, 1991","Europe/Warsaw"
09/24/1991,12:40 AM,Full Moon,3,1991-09-24 00:40:00,685665600,"September 24, 1991","Europe/Warsaw"
10/01/1991,01:30 AM,Last Quarter,4,1991-10-01 01:30:00,686277000,"October 1, 1991","Europe/Warsaw"
10/07/1991,10:39 PM,New Moon,1,1991-10-07 22:39:00,686871540,"October 7, 1991","Europe/Warsaw"
10/15/1991,06:33 PM,First Quarter,2,1991-10-15 18:33:00,687547980,"October 15, 1991","Europe/Warsaw"
10/23/1991,12:08 PM,Full Moon,3,1991-10-23 12:08:00,688216080,"October 23, 1991","Europe/Warsaw"
10/30/1991,08:11 AM,Last Quarter,4,1991-10-30 08:11:00,688806660,"October 30, 1991","Europe/Warsaw"
11/06/1991,12:11 PM,New Moon,1,1991-11-06 12:11:00,689425860,"November 6, 1991","Europe/Warsaw"
11/14/1991,03:02 PM,First Quarter,2,1991-11-14 15:02:00,690127320,"November 14, 1991","Europe/Warsaw"
11/21/1991,11:56 PM,Full Moon,3,1991-11-21 23:56:00,690764160,"November 21, 1991","Europe/Warsaw"
11/28/1991,04:21 PM,Last Quarter,4,1991-11-28 16:21:00,691341660,"November 28, 1991","Europe/Warsaw"
12/06/1991,04:56 AM,New Moon,1,1991-12-06 04:56:00,691991760,"December 6, 1991","Europe/Warsaw"
12/14/1991,10:32 AM,First Quarter,2,1991-12-14 10:32:00,692703120,"December 14, 1991","Europe/Warsaw"
12/21/1991,11:23 AM,Full Moon,3,1991-12-21 11:23:00,693310980,"December 21, 1991","Europe/Warsaw"
12/28/1991,02:55 AM,Last Quarter,4,1991-12-28 02:55:00,693885300,"December 28, 1991","Europe/Warsaw"
